Year,ICD10 Code,ICD10 Diagnosis,Diagnosis Type,Metric_Admissions,Sex_x,Value_Admissions,Metric_Fatalities,Value_Fatalities,"Tobacco Price
Index","Retail Prices
Index",Tobacco Price Index Relative to Retail Price Index,Real Households' Disposable Income,Affordability of Tobacco Index,Household Expenditure on Tobacco,Household Expenditure Total,Expenditure on Tobacco as a Percentage of Expenditure,All Pharmacotherapy Prescriptions,Nicotine Replacement Therapy (NRT) Prescriptions,Bupropion (Zyban) Prescriptions,Varenicline (Champix) Prescriptions,Net Ingredient Cost of All Pharmacotherapies,Net Ingredient Cost of Nicotine Replacement Therapies (NRT),Net Ingredient Cost of Bupropion (Zyban),Net Ingredient Cost of Varenicline (Champix),16 and Over,16-24,25-34,35-49,50-59,60 and Over
2014,J00-J99,All respiratory diseases,All respiratory diseases,Number of admissions,Both,611002,Attributable number,23200,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,19,23,24,21,19,11
2014,J00-J99,All respiratory diseases,All respiratory diseases,Number of admissions,Both,611002,Attributable number,23200,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,20,25,26,22,20,12
2014,J00-J99,All respiratory diseases,All respiratory diseases,Number of admissions,Both,611002,Attributable number,23200,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,17,21,22,20,18,11
2014,J00-J99,All respiratory diseases,All respiratory diseases,Attributable number,Both,141500,Number of observed deaths,61744,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,19,23,24,21,19,11
2014,J00-J99,All respiratory diseases,All respiratory diseases,Attributable number,Both,141500,Number of observed deaths,61744,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,20,25,26,22,20,12
2014,J00-J99,All respiratory diseases,All respiratory diseases,Attributable number,Both,141500,Number of observed deaths,61744,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,17,21,22,20,18,11
2014,J00-J99,All respiratory diseases,All respiratory diseases,Attributable number,Both,141500,Attributable number,23200,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,19,23,24,21,19,11
2014,J00-J99,All respiratory diseases,All respiratory diseases,Attributable number,Both,141500,Attributable number,23200,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,20,25,26,22,20,12
2014,J00-J99,All respiratory diseases,All respiratory diseases,Attributable number,Both,141500,Attributable number,23200,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,17,21,22,20,18,11
2014,I00-I99,All circulatory diseases,All circulatory diseases,Number of admissions,Both,907157,Number of observed deaths,126101,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,19,23,24,21,19,11
2014,I00-I99,All circulatory diseases,All circulatory diseases,Number of admissions,Both,907157,Number of observed deaths,126101,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,20,25,26,22,20,12
2014,I00-I99,All circulatory diseases,All circulatory diseases,Number of admissions,Both,907157,Number of observed deaths,126101,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,17,21,22,20,18,11
2014,I00-I99,All circulatory diseases,All circulatory diseases,Number of admissions,Both,907157,Attributable number,16400,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,19,23,24,21,19,11
2014,I00-I99,All circulatory diseases,All circulatory diseases,Number of admissions,Both,907157,Attributable number,16400,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,20,25,26,22,20,12
2014,I00-I99,All circulatory diseases,All circulatory diseases,Number of admissions,Both,907157,Attributable number,16400,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,17,21,22,20,18,11
2014,I00-I99,All circulatory diseases,All circulatory diseases,Attributable number,Both,130800,Number of observed deaths,126101,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,19,23,24,21,19,11
2014,I00-I99,All circulatory diseases,All circulatory diseases,Attributable number,Both,130800,Number of observed deaths,126101,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,20,25,26,22,20,12
2014,I00-I99,All circulatory diseases,All circulatory diseases,Attributable number,Both,130800,Number of observed deaths,126101,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,17,21,22,20,18,11
2014,I00-I99,All circulatory diseases,All circulatory diseases,Attributable number,Both,130800,Attributable number,16400,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,19,23,24,21,19,11
2014,I00-I99,All circulatory diseases,All circulatory diseases,Attributable number,Both,130800,Attributable number,16400,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,20,25,26,22,20,12
2014,I00-I99,All circulatory diseases,All circulatory diseases,Attributable number,Both,130800,Attributable number,16400,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,17,21,22,20,18,11
2014,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Number of admissions,Both,1460719,Number of observed deaths,22335,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,19,23,24,21,19,11
2014,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Number of admissions,Both,1460719,Number of observed deaths,22335,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,20,25,26,22,20,12
2014,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Number of admissions,Both,1460719,Number of observed deaths,22335,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,17,21,22,20,18,11
2014,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Number of admissions,Both,1460719,Attributable number,800,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,19,23,24,21,19,11
2014,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Number of admissions,Both,1460719,Attributable number,800,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,20,25,26,22,20,12
2014,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Number of admissions,Both,1460719,Attributable number,800,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,17,21,22,20,18,11
2014,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Attributable number,Both,19900,Number of observed deaths,22335,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,19,23,24,21,19,11
2014,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Attributable number,Both,19900,Number of observed deaths,22335,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,20,25,26,22,20,12
2014,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Attributable number,Both,19900,Number of observed deaths,22335,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,17,21,22,20,18,11
2014,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Attributable number,Both,19900,Attributable number,800,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,19,23,24,21,19,11
2014,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Attributable number,Both,19900,Attributable number,800,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,20,25,26,22,20,12
2014,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Attributable number,Both,19900,Attributable number,800,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,17,21,22,20,18,11
2014,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Number of admissions,Both,88408,Number of observed deaths,28826,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,19,23,24,21,19,11
2014,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Number of admissions,Both,88408,Number of observed deaths,28826,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,20,25,26,22,20,12
2014,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Number of admissions,Both,88408,Number of observed deaths,28826,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,17,21,22,20,18,11
2014,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Number of admissions,Both,88408,Attributable number,23100,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,19,23,24,21,19,11
2014,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Number of admissions,Both,88408,Attributable number,23100,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,20,25,26,22,20,12
2014,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Number of admissions,Both,88408,Attributable number,23100,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,17,21,22,20,18,11
2014,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Attributable number,Both,70500,Number of observed deaths,28826,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,19,23,24,21,19,11
2014,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Attributable number,Both,70500,Number of observed deaths,28826,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,20,25,26,22,20,12
2014,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Attributable number,Both,70500,Number of observed deaths,28826,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,17,21,22,20,18,11
2014,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Attributable number,Both,70500,Attributable number,23100,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,19,23,24,21,19,11
2014,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Attributable number,Both,70500,Attributable number,23100,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,20,25,26,22,20,12
2014,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Attributable number,Both,70500,Attributable number,23100,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,17,21,22,20,18,11
2014,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Number of admissions,Both,21715,Number of observed deaths,2197,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,19,23,24,21,19,11
2014,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Number of admissions,Both,21715,Number of observed deaths,2197,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,20,25,26,22,20,12
2014,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Number of admissions,Both,21715,Number of observed deaths,2197,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,17,21,22,20,18,11
2014,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Number of admissions,Both,21715,Attributable number,1400,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,19,23,24,21,19,11
2014,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Number of admissions,Both,21715,Attributable number,1400,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,20,25,26,22,20,12
2014,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Number of admissions,Both,21715,Attributable number,1400,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,17,21,22,20,18,11
2014,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Attributable number,Both,14000,Number of observed deaths,2197,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,19,23,24,21,19,11
2014,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Attributable number,Both,14000,Number of observed deaths,2197,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,20,25,26,22,20,12
2014,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Attributable number,Both,14000,Number of observed deaths,2197,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,17,21,22,20,18,11
2014,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Attributable number,Both,14000,Attributable number,1400,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,19,23,24,21,19,11
2014,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Attributable number,Both,14000,Attributable number,1400,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,20,25,26,22,20,12
2014,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Attributable number,Both,14000,Attributable number,1400,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,17,21,22,20,18,11
2014,C15,Oesophagus,Cancers which can be caused by smoking,Number of admissions,Both,29703,Number of observed deaths,6315,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,19,23,24,21,19,11
2014,C15,Oesophagus,Cancers which can be caused by smoking,Number of admissions,Both,29703,Number of observed deaths,6315,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,20,25,26,22,20,12
2014,C15,Oesophagus,Cancers which can be caused by smoking,Number of admissions,Both,29703,Number of observed deaths,6315,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,17,21,22,20,18,11
2014,C15,Oesophagus,Cancers which can be caused by smoking,Number of admissions,Both,29703,Attributable number,4100,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,19,23,24,21,19,11
2014,C15,Oesophagus,Cancers which can be caused by smoking,Number of admissions,Both,29703,Attributable number,4100,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,20,25,26,22,20,12
2014,C15,Oesophagus,Cancers which can be caused by smoking,Number of admissions,Both,29703,Attributable number,4100,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,17,21,22,20,18,11
2014,C15,Oesophagus,Cancers which can be caused by smoking,Attributable number,Both,19400,Number of observed deaths,6315,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,19,23,24,21,19,11
2014,C15,Oesophagus,Cancers which can be caused by smoking,Attributable number,Both,19400,Number of observed deaths,6315,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,20,25,26,22,20,12
2014,C15,Oesophagus,Cancers which can be caused by smoking,Attributable number,Both,19400,Number of observed deaths,6315,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,17,21,22,20,18,11
2014,C15,Oesophagus,Cancers which can be caused by smoking,Attributable number,Both,19400,Attributable number,4100,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,19,23,24,21,19,11
2014,C15,Oesophagus,Cancers which can be caused by smoking,Attributable number,Both,19400,Attributable number,4100,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,20,25,26,22,20,12
2014,C15,Oesophagus,Cancers which can be caused by smoking,Attributable number,Both,19400,Attributable number,4100,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,17,21,22,20,18,11
2014,C32,Larynx,Cancers which can be caused by smoking,Number of admissions,Both,4625,Number of observed deaths,653,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,19,23,24,21,19,11
2014,C32,Larynx,Cancers which can be caused by smoking,Number of admissions,Both,4625,Number of observed deaths,653,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,20,25,26,22,20,12
2014,C32,Larynx,Cancers which can be caused by smoking,Number of admissions,Both,4625,Number of observed deaths,653,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,17,21,22,20,18,11
2014,C32,Larynx,Cancers which can be caused by smoking,Number of admissions,Both,4625,Attributable number,500,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,19,23,24,21,19,11
2014,C32,Larynx,Cancers which can be caused by smoking,Number of admissions,Both,4625,Attributable number,500,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,20,25,26,22,20,12
2014,C32,Larynx,Cancers which can be caused by smoking,Number of admissions,Both,4625,Attributable number,500,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,17,21,22,20,18,11
2014,C32,Larynx,Cancers which can be caused by smoking,Attributable number,Both,3700,Number of observed deaths,653,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,19,23,24,21,19,11
2014,C32,Larynx,Cancers which can be caused by smoking,Attributable number,Both,3700,Number of observed deaths,653,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,20,25,26,22,20,12
2014,C32,Larynx,Cancers which can be caused by smoking,Attributable number,Both,3700,Number of observed deaths,653,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,17,21,22,20,18,11
2014,C32,Larynx,Cancers which can be caused by smoking,Attributable number,Both,3700,Attributable number,500,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,19,23,24,21,19,11
2014,C32,Larynx,Cancers which can be caused by smoking,Attributable number,Both,3700,Attributable number,500,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,20,25,26,22,20,12
2014,C32,Larynx,Cancers which can be caused by smoking,Attributable number,Both,3700,Attributable number,500,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,17,21,22,20,18,11
2014,C53,Cervical,Cancers which can be caused by smoking,Number of admissions,Both,6559,Number of observed deaths,660,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,19,23,24,21,19,11
2014,C53,Cervical,Cancers which can be caused by smoking,Number of admissions,Both,6559,Number of observed deaths,660,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,20,25,26,22,20,12
2014,C53,Cervical,Cancers which can be caused by smoking,Number of admissions,Both,6559,Number of observed deaths,660,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,17,21,22,20,18,11
2014,C53,Cervical,Cancers which can be caused by smoking,Number of admissions,Both,6559,Attributable number,100,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,19,23,24,21,19,11
2014,C53,Cervical,Cancers which can be caused by smoking,Number of admissions,Both,6559,Attributable number,100,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,20,25,26,22,20,12
2014,C53,Cervical,Cancers which can be caused by smoking,Number of admissions,Both,6559,Attributable number,100,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,17,21,22,20,18,11
2014,C53,Cervical,Cancers which can be caused by smoking,Attributable number,Both,700,Number of observed deaths,660,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,19,23,24,21,19,11
2014,C53,Cervical,Cancers which can be caused by smoking,Attributable number,Both,700,Number of observed deaths,660,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,20,25,26,22,20,12
2014,C53,Cervical,Cancers which can be caused by smoking,Attributable number,Both,700,Number of observed deaths,660,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,17,21,22,20,18,11
2014,C53,Cervical,Cancers which can be caused by smoking,Attributable number,Both,700,Attributable number,100,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,19,23,24,21,19,11
2014,C53,Cervical,Cancers which can be caused by smoking,Attributable number,Both,700,Attributable number,100,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,20,25,26,22,20,12
2014,C53,Cervical,Cancers which can be caused by smoking,Attributable number,Both,700,Attributable number,100,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,17,21,22,20,18,11
2014,C67,Bladder,Cancers which can be caused by smoking,Number of admissions,Both,68257,Number of observed deaths,4497,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,19,23,24,21,19,11
2014,C67,Bladder,Cancers which can be caused by smoking,Number of admissions,Both,68257,Number of observed deaths,4497,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,20,25,26,22,20,12
2014,C67,Bladder,Cancers which can be caused by smoking,Number of admissions,Both,68257,Number of observed deaths,4497,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,17,21,22,20,18,11
2014,C67,Bladder,Cancers which can be caused by smoking,Number of admissions,Both,68257,Attributable number,1700,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,19,23,24,21,19,11
2014,C67,Bladder,Cancers which can be caused by smoking,Number of admissions,Both,68257,Attributable number,1700,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,20,25,26,22,20,12
2014,C67,Bladder,Cancers which can be caused by smoking,Number of admissions,Both,68257,Attributable number,1700,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,17,21,22,20,18,11
2014,C67,Bladder,Cancers which can be caused by smoking,Attributable number,Both,26700,Number of observed deaths,4497,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,19,23,24,21,19,11
2014,C67,Bladder,Cancers which can be caused by smoking,Attributable number,Both,26700,Number of observed deaths,4497,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,20,25,26,22,20,12
2014,C67,Bladder,Cancers which can be caused by smoking,Attributable number,Both,26700,Number of observed deaths,4497,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,17,21,22,20,18,11
2014,C67,Bladder,Cancers which can be caused by smoking,Attributable number,Both,26700,Attributable number,1700,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,19,23,24,21,19,11
2014,C67,Bladder,Cancers which can be caused by smoking,Attributable number,Both,26700,Attributable number,1700,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,20,25,26,22,20,12
2014,C67,Bladder,Cancers which can be caused by smoking,Attributable number,Both,26700,Attributable number,1700,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,17,21,22,20,18,11
2014,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Number of admissions,Both,15426,Number of observed deaths,3559,1226,383,320.1,190,59.4,19411,1118992,1.7,1348,766,21,561,38145,18208,807,19129,19,23,24,21,19,11
